0	354
1	187
2	140
3	124
4	411
5	158
6	276
7	189
8	76
9	76
10	9
11	4
12	8
13	4
14	11
15	24
16	8
17	4
18	57
19	13
20	242
21	99
22	34
23	76
24	31
25	208
26	13
27	9
28	49
29	29
30	108
31	12
32	21
33	53
34	8
35	8
36	8
37	8
38	4
39	8
40	8
41	11
42	195
43	49
44	4
45	8
46	12
47	24
48	27
49	122
50	330
51	85
52	60
53	184
54	184
55	184
56	38
57	78
58	77
59	144
60	76
61	44
62	75
63	75
64	103
65	223
66	118
67	143
68	24
69	35
70	188
71	32
72	37
73	135
74	199
75	177
76	37
77	21
78	120
79	295
80	291
81	189
82	252
83	366
84	366
85	99
86	35
87	123
88	30
89	79
90	27
91	75
92	158
93	13
94	99
95	276
96	99
97	27
98	7000
99	70
100	137
101	13
102	13
103	27
104	27
105	27
106	27
107	27
108	27
109	39
110	59
111	23
112	25
113	152
114	123
115	223
116	19
117	47
118	27
119	27
120	52
121	11
122	81
123	15
124	58
125	26
126	20
127	373
128	254
129	262
130	16
131	23
132	316
133	342
134	46
135	66
136	66
137	119
138	184
139	161
140	27
141	31
142	27
